"sep=;";;;
Body Region;Procedure (Order As);Reason for Exam;CPT Code
ABDOMEN, VASCULAR, AORTA;MR Angio Abdomen wo+w Con;AAA (abdominal aortic aneurysm), Pre-op Kidney Transplant, Uncontrolled Blood Pressure, Malignant Renovascular HTN, Renal Artery Aneurysm, Dissection or Stenosis, Hypertension, Fibromuscular Dysplasia, Mesenteric Ischemia, Venous Thrombosis, AVM (arteriovenous malformation), MRV Venous;74185
ABDOMEN;CT Abdomen w IV Con;Abdominal Pain, Abnormal Ultrasound, Neoplasm/Mass, Infection, Weight Loss, Hernia, Pancreatic Lesion, Elevated LFT, Pseudocyst, Pancreatitis, Follow Up Renal Cancer, S/P Nephrectomy;74160
ABDOMEN;CT Abdomen wo IV Con;Renal Insufficiency patients, Cholelithiasis, Adrenal Tumor;74150
ABDOMEN;CT Angio Abdomen w Con;Renal Artery Stenosis, Aneurysm;74175
ABDOMEN;CT Angio Abdomen wo+w Con;Abdominal Aortic Dissection, Aneurysm, Renal Artery Stenosis, Abnormal Ultrasound, Mesenteric Ischemia, Status Post Aortic Stent Graft Placement;74175
ABDOMEN;MR Abdomen wo+w Con;Adrenal Mass, Renal Mass, Liver Mass, Cirrhosis, Pancreatic Mass, Painless Jaundice, Indeterminate Mass on CT or Ultrasound, Presurgical Evaluation, Post-embolization or Ablation Follow Up, Hematuria, Abdominal Pain, Tumor, Cancer, Mets;74183
ABDOMEN;MR Angio Abdomen w Runoff;Runoff MRA, Claudication, Lower Extremity pain, PAD (peripheral artery disease);C8900
ABDOMEN;MR MRCP wo Con;MRCP (Biliary and Pancreatic Ducts), Choledocholithiasis, Biliary Tract Stone, Biliary Dilatation or Obstruction, Congenital Biliary Abnormality, Choledochal Cyst, Sclerosing Cholangitis, Primary Biliary Cirrhosis, Painless Jaundice, Pre-liver Transplant;74181
ABDOMEN;US Abdomen Complete;Abdominal Pain, Epigastric Pain, Abnormal Liver Function Tests, Liver Mass, Hepatitis, Cirrhosis, Splenomegaly, Ascites;76700
ABDOMEN;XR Abdomen AP + Decub + Erect 3 Views<br>XR Abdomen AP + Decub or Erect 2 Views;AP included decubitus and/or erect views;74020
ABDOMEN;XR Abdomen AP Oblique Cone;AP and oblique and coned views;74019
ABDOMINAL AORTA SCREENING;US AAA Screening;Screening Study for Abdominal Aorta Aneurysm (AAA), Asymptomatic patient;76706
ABDOMINAL DOPPLER;US Vasc Dplx Ab/Pel/Ret Comp;Please indicate on order which Abdominal Vascular Evaluation we are to perform (TIPS Patency, Heptatoportal Venous system or Liver Transplant);93975
ACROMIOCLAVICULAR JOINTS;XR AC Jnts Wo or W Weights;Bilateral;73050
AORTA ONLY (NON-SCREENING);US Retroperitoneal Ltd;Known Abdominal Aorta Aneurysm (AAA) Follow Up, Symptomatic of AAA (e.g., abdominal bruit, pulsatile, abdominal mass);76775
ARTHROGRAPHY, EXTREMITY;<u>Order specific body part</u>:<br>MR Shoulder w Con Lt<br>MR Shoulder w Con Rt<br>MR Elbow w Con Lt<br>MR Elbow w Con Rt<br>MR Wrist w Con Lt<br>MR Wrist w Con Rt<br>MR Hip w Con Lt<br>MR Hip w Con Rt<br>MR Knee w Con Lt<br>MR Knee w Con Rt.<br><br><u>Must order injection procedure code and fluoroscopy study as well.</u><br>XR Guide NDL Fluor Plc Asp/Inj Joint<br><br><i>(Exams are intra-articular contrast injections)</i>;Postoperative Rotator Cuff or Labral evaluation of Shoulder, Inconclusive conventional MRI for loose bodies in Elbow, Inconclusive conventional MRI for TFCC (triangular fibrocartilage complex) tear of Wrist, Inconclusive Meniscus Evaluation, Postoperative Hip or Inconclusive conventional MRI Hip done previously;MR Lower 73722<br><br>MR Upper 73222<br><br>Fluoro 77002<br><br>Inj 23350
ARTHROGRAPHY, EXTREMITY;XR Arthrogram Ankle Lt<br>XR Arthrogram Ankle Rt;Ankle;73615
ARTHROGRAPHY, EXTREMITY;XR Arthrogram Elbow Lt<br>XR Arthrogram Elbow Rt;Elbow;73085
ARTHROGRAPHY, EXTREMITY;XR Arthrogram Hip Bil<br>XR Arthrogram Hip Lt<br>XR Arthrogram Hip Rt;Hip;73525
ARTHROGRAPHY, EXTREMITY;XR Arthrogram Knee Bil<br>XR Arthrogram Knee Lt<br>XR Arthrogram Knee Rt;Knee;73580
ARTHROGRAPHY, EXTREMITY;XR Arthrogram Wrist Lt<br>XR Arthrogram Wrist Rt;Wrist;73115
ARTHROGRAPHY, SHOULDER;XR Arthrogram Shoulder Bil<br>XR Arthrogram Shoulder Lt<br>XR Arthrogram Shoulder Rt;Shoulder;73040
AXILLA, ARM PIT, EXTREMITY (NON BREAST);US Extrem Non Vasc Ltd Lt<br>US Extrem Non Vasc Ltd Rt;Any age male axillary symptom. Lymphadenopathy, Abscess, Cellulitis Lump, Extremity Mass, Swelling, Popliteal or Baker's Cyst, Bursitis;76882
BLADDER ONLY;US Retroperitoneal Ltd;Post Void Residual;76775
BONE, DEXA;XR Bone Density - Axial;Osteoporosis, Osteopenia, Disorders of Bone Density and Structure;77080
BONE, DEXA;XR Bone Density DXA Axial w VertFx Asmt;Vertebral Fracture;77085
BRAIN, HEAD;MR Brain wo Con;Alzheimer's, Dementia, Memory Loss, Altered mental status, Confusion, Headache without focal symptoms, Seizures (children) Stroke, Traumatic Brain injury, Hydrocephalus, Syncope;70551
BRAIN, HEAD;MR Brain wo+w Con;Cranial Nerve Lesions, Dizziness, Vertigo, Headache with focal symptoms, HIV, IAC Stenosis, Sensorineural Hearing Loss, Infection, Multiple Sclerosis, Neurofibromatosis, Phakomatoses, Neurocutaneous Syndromes, Pituitary Lesion, Elevated Prolactin, Seizures (adult new onset) Tumor, Mass, Cancer, Mets, Vascular Lesions, Vision Changes, Trigeminal Neuralgia;70553
BREAST BIOPSY;MR Bx Breast 1st Lesion Lt - MRS<br>MR Bx Breast 1st Lesion Rt - MRS;Mass, Lesion, Cancer, Mastopathy, Fibrocystic Breast Disease;19085
BREAST;MR Breast wo Con Bil - MRS;Implant Rupture, Implant Evaluation;77047
BREAST;MR Breast wo+w Con Bil - MRS;Abnormal Mammogram, Abnormal Ultrasound, Dense Breast High Risk, Mass, Lesion, Cancer, Palpable Mass, Implant rupture;77049
BUTTOCK;US Extrem Non Vasc Ltd Lt<br>US Extrem Non Vasc Ltd Rt;Palp or lump on buttock area;76882
CAROTIDS, ARTERIES;US Vasc Dplx Extracran Art Bilat Comp;Carotid Stenosis, Dizziness, TIA, Stroke or CVA, Amaurosis Fugax, Carotid Bruit, Atherosclerosis, Syncope;93880
CHEST WALL, UPPER BACK;US Upper Back Soft Tissue;Lump (non breast), Soft Tissue Mass for Chest or Upper Back;76604
CHEST, ABDOMEN, PELVIS;CT Angio Chest+Abd+Pelvis w Con;DaVinci Mitral Valve Replacement, Aortic Dissection, Aortic Aneurysm, Mesenteric Renal Artery Stenosis or Aneurysm;71275<br>74174
CHEST, ABDOMEN, PELVIS;CT Chest+Abdomen+Pelvis w Con;Cancer Staging, Unexplained Weight Loss;71260<br>74177
CHEST, ABDOMEN, PELVIS;CT Chest+Abdomen+Pelvis wo Con;Patients unable to have Contrast<br>Cancer Staging, Unexplained Weight Loss;71250<br>74176
CHEST, ABDOMEN, PELVIS;CT Chest+Abdomen+Pelvis wo+w Con;Dedicated Abdomen (Liver Mass, Pancreatic Mass, Renal Mass, Adrenal Mass) with Chest and Pelvis for potential Metastasis;71260<br>74178
CHEST, ABDOMEN;CT Angio Chest+Abdomen w Con;Evaluation Coarctation of Aorta, Ascending Aortic Dilation, Hypertension;71275<br>74175
CHEST, ABDOMEN;CT Angio Chest+Abdomen wo+w Con;Known or suspected Aortic Dissection, Aortic Aneurysm, Status-post Aortic Stent Graft Placement;71275<br>74175
CHEST, ABDOMEN;CT Chest+Abdomen w Con;Lung Cancer follow up, sometimes Colon Cancer follow up (MR Pelvis ordered at the same time);71260<br>74160
CHEST, ABDOMEN;CT Chest+Abdomen wo Contrast;Patients unable to have Contrast<br>Lung Cancer follow up, Rectal Cancer follow up (MR Pelvis ordered at the same time);71250<br>74150
CHEST, ABDOMEN;CT Chest+Abdomen wo+w Con;Dedicated Abdomen (Liver Mass, Pancreatic Mass, Renal Mass, Adrenal Mass) with Chest for potential Metastasis;71260<br>74170
CHEST, CLAVICLE;MR Clavicle wo Con Lt<br>MR Clavicle wo Con Rt;Pain in Clavicular Joint, Clavicular Asymmetry, Fracture;71550
CHEST, LUNG;CT Chest Low Dose;Pulmonary Nodule follow up;71250
CHEST, LUNG;CT Chest w Con;Cancer, Adenopathy, Pneumonia, Hemoptysis, Pleural Effusion (Exudative), Chest Wall Mass, Abnormal CXR, Cough, Sarcoidosis, Hilar Abnormality, History of Cancer, Tumor, Mets, Neoplasm/Mass Abscess, Enlarged Aortic Arch, Lymphadenopathy;71260
CHEST, LUNG;CT Chest wo Con (High Res);Interstitial Lung Disease, COPD, Bronchiectasis, Sarcoidosis Asbestosis, COVID Follow Up, Fibrosis, Emphysema;71250
CHEST, LUNG;CT Chest wo Con Lung F/U;Short Term follow up (3-9 Months) for current Lung Screening patients;71250
CHEST, LUNG;CT Chest wo Con;Lung Nodule with symptoms or known Cancer, Nonspecific Chest Pain or Dyspnea, Cancer (if patient cannot have IV Contrast), Pleural Effusion (Transudative), Thoracic Aortic Aneurysm, Chronic Cough;71250
CHEST, LUNG;CT Lung Screening;"50-77 yrs old and ≥ 20 pack Yr Smoker and Quit Smoking < 15 yrs ago, Asymptomatic Only<br><a href=""https://drive.google.com/file/d/1RaVEp7DMsxDJrQlIp6FyPoWVRoAtbH9K/view?usp=drive_link"" target=""_blank"">CT Lung Screening Form</a>";71271
CHEST, MEDIASTINUM;MR Chest wo+w Con;Thymic Lesion, Thymoma, Mediastinal Mass, Tumor, Cancer, Mets;71552
CHEST, STERNOCLAVICULAR, SC JOINT;CT Chest wo Con;Fracture, Nonunion, Malunion;71250
