"sep=;";;;
Body Region;Procedure (Order As);Reason for Exam;CPT Code
LOWER EXTREMITY;XR Knee 4+ Views Bil<br>XR Knee 4+ Views Lt<br>XR Knee 4+ Views Rt;Complete, 4 views or more;73564
LOWER EXTREMITY;XR Knees Standing AP Bil;AP standing, bilateral;73565
LOWER EXTREMITY;XR Tibia+Fibula 2 Views Bil<br>XR Tibia+Fibula 2 Views Lt<br>XR Tibia+Fibula 2 Views Rt;2 views;73590
LOWER EXTREMITY;XR Toe 2+ Views Bil<br>XR Toe 2+ Views Lt<br>XR Toe 2+ Views Rt;Minimum 2 views;73660
LOWER EXTREMITY, VENOUS, VASCULAR;US Vasc Dplx Ven Low Ext Bil Insuff<br>US Vasc Dplx Ven Low Ext Lt Insuff<br>US Vasc Dplx Ven Low Ext RT Insuff;Venous Insufficiency (NO DVT CONCERN);93970 Bil<br>93971 Uni
LOWER EXTREMITY, VASCULAR;US Vasc Dplx Ven Low Ext Bil<br>US Vasc Dplx Ven Low Ext Lt<br>US Vasc Dplx Ven Low Ext Rt;DVT, Leg Swelling, Pulmonary Embolism, Elevated D-Dimer;93970 Bil<br>93971 Uni
LOWER EXTREMITY, VASCULAR;US Vasc Pseudoaneurysm Low Ext Lt<br>US Vasc Pseudoaneurysm Low Ext Rt;Palp/pain after arterial puncture or trauma;93926
MSK EXTREMITY, EXTREMITIES;US Extrem Non Vasc Comp Lt<br>US Extrem Non Vasc Comp Rt;Tendon tears, or tendonitis of the rotator cuff in the shoulder, Achilles tendon in the ankle and other tendons throughout the body, Muscle tears, Ligament sprains or tears, Nerve entrapments such as carpal tunnel syndrome;76881
MANDIBLE;XR Mandible 1-3 Views;Partial, less than 4 views;70100
MANDIBLE;XR Mandible 4+ Views;Complete, 4 views or more;70110
NASAL BONES;XR Nasal Bones 3+ Views;3 views or more;70160
NECK, THYROID;US Soft Tissue Head+Neck;Thyroid Nodule, Cyst, Mass, Thyroid Enlargement or Thyromegaly, Hyperparathyroidism, Disorder of Parathyroid Gland, Abnormal Thyroid Function Tests, Thyroiditis, Hyperthyroidism, Hypothyroidism, Neck Swelling, Lymphadenopathy, Neck Mass or Lump;76536
NECK;CT Angio Neck w Con;Carotid Stenosis, Trauma, Fibromuscular Dysplasia, Aneurysm;70498
NECK;CT Soft Tissue Neck w Con;Mass, Cancer Staging or Followup, Infection, Salivary Tract Inflammation, Dysphagia, Hoarseness, Vocal Cord Dysfunction, Upper Airway Obstruction, Focal Mass, Lymphadenopathy, Lymphoma, Goiter, Esophageal Cancer;70491
NECK;CT Soft Tissue Neck w Con;Mass, Cancer Staging or Followup, Infection, Salivary Tract Inflammation, Dysphagia, Hoarseness, Vocal Cord Dysfunction, Upper Airway Obstruction;70491
NECK;CT Soft Tissue Neck wo Con;Salivary Gland Stone, Parotid Stone;70490
NECK;CT Soft Tissue Neck wo+w Con;Submandibular Stone, Parotid Stone with Associated Infection/Inflammation, Parathyroid Adenoma;70492
NECK;MR Angio Neck wo+w Con;Carotid Stenosis, Stroke, Vertebrobasilar Insufficiency, Fibromuscular Dysplasia, Peripheral Vascular Disease, Sudden or Transient Visual Loss, SSS (subclavian steal syndrome);70549
NECK;XR Neck Soft Tissue;Soft Tissue;70360
OB FIRST TRIMESTER FETAL NUCHAL TRANSLUCENCY;US Preg Nuchal Transl 1st;Fetal Abnormalities, Exam to be performed at Fetal Age between 11 weeks to 13 weeks 6 days;76813
OB FIRST TRIMESTER PREGNANCY (INCLUDES TRANSVAGINAL);US Preg <14 Wks/Transvag;Less Than 14 weeks, First Trimester, Viability/Dating, Bleeding/Pain, Ectopic Pregnancy;76801<br>76817
OB SECOND OR THIRD TRIMESTER LIMITED;US Preg 1 or > Fetuses Ltd;No Prior ultrasound Available: Fetal Heart Rate, Placental Location, Fetal Position, Cervical/Cervix Length and Amniotic Fluid Volume (AFI) , Estimated Fetal Weight (EFW) / Dating.;76815
OB SECOND OR THIRD TRIMESTER FOLLOW-UP;US Preg Follow Up per Gest;Reevaluation following a prior ultrasound, Including Fetal Heart Rate, Placental Location, Fetal Position and Amniotic Fluid Volume (AFI), Estimated Fetal Weight (EFW), Interval Growth, Re-eval of Organ (if indicated) Cervical/Cervix Length, Additional views needed after three weeks from prior scan<br>WHEN RE-EVALUATING LOW LYING PLACENTA AND OR CERVICAL LENGTH PLEASE INCLUDE AN ADDITIONAL ORDER FOR: US Preg Transvag;76816<br>76817 (If Transvag needed)
OB, OBSTETRICAL ASSESSMENT, OB FETAL ANATOMY ASSESSMENT, Detailed;US Preg =>14 Wks Sgl or 1st Gest;Greater than 14 weeks 2nd or 3rd Trimester, 18-22 weeks OB Screening for: Fetal Anatomic Survey (FAS);<u>US Preg >= 14 Wks</u><br>76805<br>
ORBITS, OPTIC;XR Optic Foramina;;70190
ORBITS;XR Orbits 4+ Views;Complete, 4 views or more;70200
PELVIS - FEMALE (INCLUDES TRANSVAGINAL / PREFERRED EXAM TO FULLY EVALUATE THE PELVIS);US Pelvic Non OB w Trans Vag;Pelvic pain, mass, dyspareunia, endocrine issues (e.g., PCOS), dysmenorrhea, amenorrhea, AUB, post-menopausal bleeding, delayed menses, infertility, signs of infection, follow-up of prior abnormality (e.g. ovarian / ovary cyst) , IUD localization, malignancy surveillance in high-risk patients, incontinence or prolapse, guidance for procedures, and pre/post-operative evaluation. Patients without contraindication to transvaginal imaging;76856<br>76830
PELVIS - FEMALE (DOES NOT INCLUDE TRANSVAGINAL);US Pelvic Non OB;For with patients with contraindication for Transvaginal Exam: Pelvic pain, mass, dyspareunia, endocrine issues (e.g., PCOS), dysmenorrhea, amenorrhea, AUB, post-menopausal bleeding, delayed menses, infertility, signs of infection, follow-up of prior abnormality (e.g. ovarian / ovary cyst) , IUD localization, malignancy surveillance in high-risk patients, incontinence or prolapse, guidance for procedures, and pre/post-operative evaluation.;76856
PELVIS - MALE;US Pelvic Non OB;Pelvic Pain, Urinary Bladder, Prostate (Transabdominal approach), Seminal Vesicles, Pelvic Pathology;76856
PELVIS, CYSTOGRAM;CT Pelvis wo IV Con;Cystographic Contrast Only, Bladder Rupture, Bladder Repair, Bladder Fistula;72192
PELVIS, CYSTOGRAM;CT Pelvis wo+w IV Con;Cystographic Contrast Only, Bladder Rupture, Bladder Repair, Bladder Fistula, Bladder Mass, Bladder Cancer;72194
PELVIS;CT Angio Pelvis w Con;Pelvic Deep Vein Thrombosis, Specific Surgical Prep;72191
PELVIS;CT Angio Pelvis wo+w Con;Specific Surgical Prep;72191
PELVIS;CT Pelvis w IV Con;Arthritis, Cancer Staging, Pelvic Mass, Cysts, Pain, Infection, Pelvic Abscess;72193
PELVIS;CT Pelvis wo IV Con;Fracture, Nonunion, Inguinal Hernia;72192
PELVIS;MR Angio Pelvis wo+w Con;AVM (arteriovenous malformation), May-Thurner Syndrome, Pelvic Congestion, Femoral Arteries;72198
PELVIS;MR Defecography;Rectum Prolapse, Constipation, Rectocele, Uterine Prolapse, Straining;72195
PELVIS;MR Pelvis wo Con;Fracture, Muscle Tear, Tendon Tear, Sports Hernia, Lower Abdominal Muscle Strain, Adductor Strain;72195
PELVIS;MR Pelvis wo+w Con;Uterine Fibroids, Adenomyosis, Endometrioma, Staging or Follow Up of Uterine Cancer, Endometrial Cancer or Cervical Cancer, Ovarian Adnexal Mass or Cyst, Vaginal Cyst, Vaginal Mass, Abnormal or indeterminate CT or Ultrasound Findings, Mullerian Duct Anomaly, Urethral Diverticulum, Bladder Mass, Prostate Cancer With Clinically Suspected Extracapsular or Invasive Disease, Rectal Cancer, Anal Cancer Staging or Follow Up, Perirectal Perianal Fistula or Abscess, Osteomyelitis, Septic Arthritis, Tumor, Mets, Decubitus Ulcer;72197
PELVIS;MR Prostate wo+w Con;Elevated PSA, Prostate Cancer;72197
PELVIS;XR Pelvis 1-2 Views;1-2 views;72170
PENILE;US Pelvic non OB ltd or Follow Up;Suspected Peyronie's Disease , painful penile thickening/scar sometimes with deformity (bend or shortening);76857
PET, BRAIN;PET/CT Brain Metabolic Evaluation;Metabolic Evaluation, Seizure Evaluation, Alzheimer's Disease, Frontotemporal Dementia;78608
PET, HEART, CARDIAC;PET Myocard Metabolic Sarcoidosis DHAI;Inflammation, Cardiac Sarcoidosis;78459
PET, HEART, CARDIAC;PET Myocard Metabolic Viability DHAI;Evaluate Myocardial Viability;78459
PET, LUNG;PET/CT Skull Mid Thigh F/U CT Lung;Follow Up to ACR Lung Screening Lung Rads 4A, 4B, 4X;78815
PET, NETSPOT;PET/CT Skull to Mid Thigh NETSPOT<br>Ga-68 Dotatate A9587x54;Well Differentiated Neuroendocrine Tumors;78815
PET, PSMA;PET/CT Skull to Mid Thigh F-18 PSMA<br>Pylarify A9595x9;Prostate Cancer;78815
PET, SKULL TO MID THIGH;PET/CT Tumor Skull Mid-Thigh Initial<br>PET/CT Tumor Skull - Mid Thigh Subsequent<br>FDG Dose A9552;Malignancy vs Benign Malignancy Staging/Restaging, Differentiating Recurrent or Residual Disease from Therapy Induced Changes, Monitoring the Response to Therapy;78815
PET, WHOLE BODY;PET/CT Whole Body Initial<br>PET/CT Whole Body Subsequent<br>FDG Dose A9552;Melanoma Sarcoma, Multiple Myeloma, Merkel Cell Carcinoma, Osteosarcoma;78816
RENAL ARTERIES;US Vasc Dplx Ab/Pel/Ret Comp;Renovascular Hypertension, Renal Artery Stenosis, Severe Hypertension;93975
RETROPERITONEUM KIDNEYS, BLADDER, AORTA, SVC, IVC, NODES;US Retroperitoneal Complete;Renal Mass, UTI, Renal Insufficiency or Failure, Renal Colic or Flank Pain, Bladder Mass, Hematuria, Cystitis, Kidneys and Bladder;76770
RIBS;XR Ribs 2 Views Lt<br>XR Ribs 2 Views Rt;Unilateral, 2 views;71100
RIBS;XR Ribs 3 Views Bil;Bilateral, 3 views;71110
RIBS;XR Ribs w PA Chest 3+ Views Lt<br>XR Ribs w PA Chest 3+ Views Rt;Unilateral, 2 views including PA Chest;71101
RIBS;XR Ribs w PA Chest 4+ Views Bil;Bilateral, including PA Chest, minimum of 4 views;71111
SACROILIAC JOINTS;XR SI Jnts 3+ Views;3 views or more;72200
SACRUM, COCCYX;XR Sacrum+Coccyx 2+ Views;2 views or more;72220
SALIVARY GLAND;XR Salivary Gland;Check for calculus;70380
SCAPULA;XR Scapula Complete Bil<br>XR Scapula Complete Lt<br>XR Scapula Complete Rt;Complete;73010
SCROTUM, TESTICLES;US Scrotum;Scrotal or Testicular Mass, Scrotal or Testicular Pain or Torsion, Scrotal Swelling;76870
SHOULDER;XR Shoulder 2+ Views Bil<br>XR Shoulder 2+ Views Lt<br>XR Shoulder 2+ Views Rt;Minimum 2 views;73030
SINUS, HEAD;CT Sinus wo Con;Sinusitis, Sinonasal Polyposis, Pre or Post-surgical Evaluation;70486
SINUSES;XR Sinuses 3+ Views;Complete, 3 views or more;70220
SINUSES;XR Sinuses 1-2 Views;1-2 views;70210
SKULL, HEAD, BRAIN;XR Sella Turcica;;70240
SKULL, HEAD;XR Skull 1-3 Views;Less than 4 views;70250
SKULL, HEAD;XR Skull 4+ Views;Complete, 4 views or more;70260
SPINE, CERVICAL;CT C Spine w Con;Inflammatory Arthritis, Discitis Osteomyelitis, Epidural Abscess, Mass;72126
SPINE, CERVICAL;CT C Spine wo Con;Trauma, Post-surgical Evaluation, Congenital Anomalies, Degenerative Disc Disease (DDD);72125
SPINE, CERVICAL;MR C Spine wo Con;Arm pain, Shoulder pain, Weakness, Degenerative Disease, Neck Pain, Disc Herniation, Radiculopathy, Neck pain, Numbness;72141
SPINE, CERVICAL;MR C Spine wo+w Con;Discitis, Osteomyelitis, Multiple Sclerosis, Myelopathy, Syrinx, Tumor, Mass, Cancer, Mets, AVM;72156
SPINE, CERVICAL;XR C Spine 2-3 Views;2-3 views;72040
SPINE, CERVICAL;XR C Spine 4-5 Views;4-5 views;72050
SPINE, CERVICAL;XR C Spine 6 or more Views;6 views or more;72052
SPINE, LUMBAR;CT L Spine w Con;Inflammatory Arthritis, Discitis Osteomyelitis, Epidural Abscess, Mass;72132
SPINE, LUMBAR;CT L Spine wo Con;Trauma, Fracture, Spondylolysis, Spondylolisthesis, Low Back Pain, Spinal Stenosis, Lumbar Radiculopathy, Tumor, Post-surgical Evaluation;72131
SPINE, LUMBAR;MR L Spine wo Con;Back Pain, Compression Fracture (No history malignancy mets), Degenerative Disease, Disc Herniation, Radiculopathy, Sciatica, Spondylolisthesis, Spinal Stenosis, Trauma, Vertebroplasty Planning (No Hx of malignancy);72148
SPINE, LUMBAR;MR L Spine wo+w Con;Compression Fracture (Hx History of cancer mets), Discitis, Osteomyelitis, Post-op Back Surgery (within 5 years), Tumor, Mass, Cancer, Mets, Vertebroplasty (Hx History of malignancy);72158
SPINE, LUMBOSACRAL;XR L Spine 2-3 Views;2-3 views;72100
SPINE, LUMBOSACRAL;XR L Spine 4-5 Views;4 views minimum;72110
SPINE, LUMBOSACRAL;XR L Spine 6+ Views w Bending;Complete, including bending and 6 views or more;72114
SPINE, LUMBOSACRAL;XR L Spine Bending Only 2-3 Views;Bending views only, 2-3 views;72120
SPINE, SCOLIOSIS;XR Scoliosis Spine 1 View;Entire thoracic, lumbar, cervical and sacral spine 1 view;72081
SPINE, SCOLIOSIS;XR Spine Entire 2-3 Views;Entire thoracic, lumbar, cervical and sacral spine 2 view;72082
SPINE, SCOLIOSIS;XR Spine Entire 4-5 views;Entire thoracic, lumbar, cervical and sacral spine 4 or 5 views;72083
SPINE, SCOLIOSIS;XR Spine Entire 6 + Views;Entire thoracic, lumbar, cervical and sacral spine Minimum 6 views;72084
SPINE, THORACIC, LUMBAR;XR Thoracolumbar 2 Views;2 views;72080
SPINE, THORACIC;CT T Spine w Con;Inflammatory Arthritis, Discitis Osteomyelitis, Epidural Abscess, Mass;72129
SPINE, THORACIC;CT T Spine wo Con;Trauma, Fracture, Back Pain, Spinal Stenosis, Tumor, Post-surgical Evaluation;72128
SPINE, THORACIC;MR T Spine wo Con;Back Pain, Compression Fracture, Degenerative Disease, Disc Herniation, Radiculopathy, Trauma, Vertebroplasty Planning;72146
SPINE, THORACIC;MR T Spine wo+w Con;Compression Fracture (Hx History of Cancer Mets), Discitis, Osteomyelitis, Multiple Sclerosis, Myelopathy, Syrinx, Tumor, Mass, Cancer, Vascular Lesions, AVM, Vertebroplasty Planning (Hx History Malignancy), Post-op Fusion;72157
SPINE, THORACIC;XR T Spine 2 Views;2 views;72070
SPINE, THORACIC;XR T Spine 3 Views;3 views;72072
SPINE, THORACIC;XR T Spine 4+ Views;4 views or more;72074
STERNOCLAVICULAR JOINTS;XR Sternoclavicular Jnts 3+ Views;Unilateral or bilateral, minimum 3 views;71130
STERNUM;XR Sternum 2+ Views;Minimum 2 views;71120
TEMPOROMANDIBULAR JOINT;XR TMJ Lt<br>XR TMJ Rt<br>XR TMJ Bil;;70328 Uni<br>70330 Bil
UPPER EXTREMITY;<u>Order specific body part</u>:<br>CT Hand w Con Lt<br>CT Hand w Con Rt<br>CT Wrist w Con Lt<br>CT Wrist w Con Rt<br>CT Forearm w Con Lt<br>CT Forearm w Con Rt<br>CT Elbow w Con Lt<br>CT Elbow w Con Rt<br>CT Humerus w Con Lt<br>CT Humerus w Con Rt<br>CT Shoulder w Con Lt<br>CT Shoulder w Con Rt;Infection, Tumor, Mass, Cancer, Mets;73201
UPPER EXTREMITY;<u>Order specific body part</u>:<br>CT Hand wo Con Lt<br>CT Hand wo Con Rt<br>CT Wrist wo Con Lt<br>CT Wrist wo Con Rt<br>CT Forearm wo Con Lt<br>CT Forearm wo Con Rt<br>CT Elbow wo Con Lt<br>CT Elbow wo Con Rt<br>CT Humerus wo Con Lt<br>CT Humerus wo Con Rt<br>CT Shoulder wo Con Lt<br>CT Shoulder wo Con Rt;Fracture, Fusion, Nonunion, Malunion;73200
UPPER EXTREMITY, INFANT;XR Upper Extrem Infant 2+ Views Lt<br>XR Upper Extrem Infant 2+ Views Rt;Infant, minimum 2 views;73092
UPPER EXTREMITY, JOINT;<u>Order specific body part</u>:<br>MR Scapula wo Con Lt<br>MR Scapula wo Con Rt<br>MR Shoulder wo Con Lt<br>MR Shoulder wo Con Rt<br>MR Elbow wo Con Lt<br>MR Elbow wo Con Rt<br>MR Wrist wo Con Lt<br>MR Wrist wo Con Rt;Arthritis, Fracture, Stress Fracture, Internal Derangement, Joint Pain (specify joint), Muscle Tear, Tendon Tear, Ligament Tear, Cartilage Tear;73221
UPPER EXTREMITY, JOINT;<u>Order specific body part</u>:<br>MR Scapula wo+w Con Lt<br>MR Scapula wo+w Con Rt<br>MR Shoulder wo+w Con Lt<br>MR Shoulder wo+w Con Rt<br>MR Elbow wo+w Con Lt<br>MR Elbow wo+w Con Rt<br>MR Wrist wo+w Con Lt<br>MR Wrist wo+w Con Rt;Abscess, Ulcer, Cellulitis, Fasciitis, Myositis, Inflammatory Arthritis, Septic Arthritis, Tumor, Mass, Cancer, Mets;73223
UPPER EXTREMITY;<u>Order specific body part</u>:<br>MR Hand wo con Lt<br>MR Hand wo Con Rt<br>MR Forearm wo Con Lt<br>MR Forearm wo Con Rt<br>MR Humerus wo Con Lt<br>MR Humerus wo Con Rt<br>MR Finger Digit wo Con Lt<br>MR Finger Digit wo Con Rt;Fracture, Stress Fracture, Muscle Tear, Tendon Tear;73218
UPPER EXTREMITY;<u>Order specific body part</u>:<br>MR Hand wo+w con Lt<br>MR Hand wo+w Con Rt<br>MR Forearm wo+w Con Lt<br>MR Forearm wo+w Con Rt<br>MR Humerus wo+w Con Lt<br>MR Humerus wo+w Con Rt<br>MR Finger Digit wo+w Con Lt<br>MR Finger Digit wo+w Con Rt;Abscess, Ulcer, Bone Tumor, Mass, Cancer, Mets, Cellulitis, Fasciitis, Myositis, Osteomyelitis, Soft Tissue Tumor, Mass;73220
UPPER EXTREMITY;CT Angio Upper Extrem w Con Bil<br>CT Angio Upper Extrem w Con Lt<br>CT Angio Upper Extrem w Con Rt;Trauma, Pseudoaneurysm, Vascular Malformation;73206
UPPER EXTREMITY;CT Angio Upper Extrem wo+w Con Lt<br>CT Angio Upper Extrem wo+w Con Rt;Thoracic Outlet Syndrome, Paget-Schroetter Disease, Subclavian Stenosis;75898 Lt<br>76937 Rt
UPPER EXTREMITY;MR Angio Upper Extrem wo+w Con Lt<br>MR Angio Upper Extrem wo+w Con Rt;Hypothenar Hammer Syndrome, Subclavian AVM (arteriovenous malformation);73225
UPPER EXTREMITY;XR Elbow 2 Views Bil<br>XR Elbow 2 Views Lt<br>XR Elbow 2 Views Rt;2 views;73070
UPPER EXTREMITY;XR Elbow 3+ Views Bil<br>XR Elbow 3+ Views Lt<br>XR Elbow 3+ Views Rt;Complete, 3 views or more;73080
UPPER EXTREMITY;XR Finger 2+ Views Lt<br>XR Finger 2+ Views Rt;Minimum 2 views;73140
UPPER EXTREMITY;XR Forearm 2 Views Bil<br>XR Forearm 2 Views Lt<br>XR Forearm 2 Views Rt;2 views;73090
UPPER EXTREMITY;XR Hand 2 Views Bil<br>XR Hand 2 Views Lt<br>XR Hand 2 Views Rt;2 views;73120
UPPER EXTREMITY;XR Hand 3+ Views Bil<br>XR Hand 3+ Views Lt<br>XR Hand 3+ Views Rt;3 views or more;73130
UPPER EXTREMITY;XR Humerus 2+ Views Bil<br>XR Humerus 2+ Views Lt<br>XR Humerus 2+ Views Rt;Minimum 2 views;73060
UPPER EXTREMITY;XR Wrist 2 Views Bil<br>XR Wrist 2 Views Lt<br>XR Wrist 2 Views Rt;2 views;73100
UPPER EXTREMITY;XR Wrist 3+ Views Bil<br>XR Wrist 3+ Views Lt<br>XR Wrist 3+ Views Rt;3 views or more;73110
UPPER EXTREMITY, VASCULAR;US Vasc Dplx Ven Upp Ext Bil<br>US Vasc Dplx Ven Upp Ext Lt<br>US Vasc Dplx Ven Upp Ext Rt;DVT, Arm Swelling, Pulmonary Embolism, Elevated D-Dimer;93970 Bil<br>93971 Uni
