"sep=;";;;;;
Protocol;Anatomy;Procedure (Order As);Clinical Indications;Durations;Prep
<a href='https://drive.google.com/file/d/14kBnWjOsCDDbGck0zNNYHUE6YS8otrBx/view' target='_blank'>DHAI US 203 PELVIS SONOHYSTERO</a>;PELVIS;US Sonohysterogram;Abnormal uterine bleeding, Uterine cavity evaluation especially relating to uterine leiomyomas, polyps, synechiae, and cesarean scar niches, Abnormalities detected on transvaginal sonography, including focal or diffuse endometrial or intracavitary abnormalities, Congenital or acquired abnormalities of the uterus, Infertility, Recurrent pregnancy loss, Fallopian tube evaluation is not included in this exam.;60 min;WATER PREP
<a href='https://drive.google.com/file/d/1qhqim9eGzz8mn5EZveidtH0IL6zNB2Sx/view' target='_blank'>DHAI US 204 PELVIS MALE</a>;PELVIS;US Pelvic Non OB;Pelvic Pain, Bladder, Prostate, Pelvic Pathology;45 min;WATER PREP
<a href='https://drive.google.com/file/d/11U8ZjwbSutgu5L6KRwgyq85HOPd9xrkm/view' target='_blank'>DHAI US 205 PENILE</a>;PENIS;US Pelvic Non OB Ltd or Follow Up;Limited to: Suspected Peyronie's Disease, painful penile thickening/scar sometimes with deformity (bend or shortening);30 min;NO PREP
<a href='https://drive.google.com/file/d/1vUqc6-QAxo65DBbZ3wBqEIV__QVghrDG/view' target='_blank'>DHAI US 300 OB EARLY</a>;OB <14 WEEKS / FIRST TRIMESTER;US Preg <14 Wks/Transvag;Viability/Dating, Bleeding/Pain, Ectopic Pregnancy;45 min;WATER PREP
<a href='https://drive.google.com/file/d/11RQYq3cp8G1GymcMqm7jWYIFnMtbUPH5/view' target='_blank'>DHAI US 301 OB NT</a>;OB <14 WEEKS / FIRST TRIMESTER NUCHAL TRANSLUCENCY (NT);US Preg Nuchal Transl 1st;Nuchal Translucency (NT) Evaluation. This exam is to be performed between a Fetal Age of 11 weeks and 13 weeks 6 days.;60 min;WATER PREP
<a href='https://drive.google.com/file/d/1zg1vZFb6dG2LylcUU3UfBp0mIS5VY-jq/view' target='_blank'>DHAI US 302 OB ANATOMY</a>;OB >18 WEEKS ANATOMY;US Preg =>14 Wks Sngl or 1st Gest;At least 18 weeks gestation, OB scan for: Fetal Anatomic Survey (FAS);60 min;WATER PREP
<a href='https://drive.google.com/file/d/1dvRVFJ_0i0HD8PPRD3Qd_sMlJkKOj4Yf/view' target='_blank'>DHAI US 303 OB MULTI GEST</a>;OB MULTIPLE GESTATIONS / TWINS;US Preg =>14 Wks Sngl/1st Gest Mult or US Preg <14 Wks/Transvag;At least 18 weeks gestation, OB scan for: Fetal Anatomic Survey (FAS) for multiple gestations;90 min;WATER PREP
<a href='https://drive.google.com/file/d/1J192Cr9OmeoPnS_rGeT4kSth0eYig9wN/view' target='_blank'>DHAI US 304 OB F/U LTD<br>(follow up/limited)</a>;OB SECOND OR THIRD TRIMESTER FOLLOW-UP;US Preg 1 or > Fetuses Ltd or<br>US Preg Follow Up per Gest;Fetal heart rate, placental location, fetal position, qualitative amniotic fluid volume (AFI), estimated fetal weight, interval growth, organ re-evaluation (prior scan), and size vs. dating discrepancy. Additional views needed after three weeks from prior scan.<br>US Preg 1 or > Fetuses Ltd = No Prior Available<br>US Preg Follow Up per Gest = Prior Available for comparison;45 min;WATER PREP
<a href='https://drive.google.com/file/d/1bMwn1BhmuhyZNoodGPP4wN2dwEqYiEWh/view' target='_blank'>DHAI US 400 VASC DVT UPPER</a>;UPPER EXTREMITY;US Vasc Dplx Ven Upp Ext Bilat<br>US Vasc Dplx Ven Upp Ext Lt<br>US Vasc Dplx Ven Upp Ext Rt;DVT, Arm Swelling, Pain, Pulmonary Embolism, Elevated D-Dimer;60 min BIL<br>45 min UNI;NO PREP
<a href='https://drive.google.com/file/d/1s9JqxZgWfyCmWHx-HYr8XaBOSPNaWLQh/view' target='_blank'>DHAI US 401 VASC DVT LOWER</a>;LOWER EXTREMITY;US Vasc Dplx Ven Low Ext Bilat<br>US Vasc Dplx Ven Low Ext Lt<br>US Vasc Dplx Ven Low Ext Rt;DVT, Leg Swelling/Edema, Pain, Pulmonary Embolism, Elevated D-Dimer;45 min BIL<br>30 min UNI;NO PREP
